rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,anchors_contained_gb,anchors_contained_ie,named_identification,is_single_connected_component,stage_role,anchor_role,ownership_source,physical_source
30,19088,49.7,189.6,-2.56607,59.25802,"[-300756, 8220335, -266055, 8248273]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
31,19092,48.6,186.0,-2.96031,59.29632,"[-341919, 8229891, -315757, 8258734]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
32,19062,47.2,178.9,-3.03687,59.16033,"[-347188, 8207763, -328660, 8223712]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
33,20417,40.5,167.6,-0.86256,60.60111,"[-105643, 8525925, -85167, 8542015]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
34,18790,63.6,150.3,-2.57952,49.45573,"[-297799, 6345665, -278501, 6361687]",,,Guernsey,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
35,11377,41.0,131.3,-6.2045,56.0764,"[-699029, 7564031, -682736, 7585072]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
36,19049,33.9,128.3,-2.60936,59.10826,"[-299483, 8195762, -281317, 8215523]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
37,20255,27.6,110.8,-1.09438,60.14847,"[-127809, 8422593, -116339, 8442065]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
38,19069,27.7,105.3,-2.77471,59.18931,"[-314782, 8210297, -304303, 8234717]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
39,19041,27.4,103.1,-2.85964,59.04867,"[-326710, 8184199, -311591, 8199272]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
