run_id,region,overlay_unit_id,hex_id,intersection_area_km2,is_primary
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001397_r+000401,2.394627,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001397_r+000403,0.597789,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001403_r+000400,0.502758,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001403_r+000401,0.00137,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001402_r+000399,0.02292,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001402_r+000400,0.762923,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001402_r+000401,1.152539,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001401_r+000399,0.005862,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,h6000_q-001401_r+000401,1.127766,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_8ab971ec78cc,h6000_q-001394_r+000387,0.0292,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_8ab971ec78cc,h6000_q-001393_r+000387,0.128635,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_8ab971ec78cc,h6000_q-001393_r+000388,0.140753,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_8ab971ec78cc,h6000_q-001392_r+000387,0.56186,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,h6000_q-001408_r+000400,0.091391,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,h6000_q-001408_r+000401,0.268163,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,h6000_q-001407_r+000398,0.010068,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,h6000_q-001407_r+000400,1.169522,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,h6000_q-001407_r+000401,0.017645,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001397_r+000402,2.203239,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001397_r+000403,3.684777,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001397_r+000404,1.410136,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001396_r+000401,0.108815,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001396_r+000402,3.063346,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001396_r+000403,12.184094,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001396_r+000404,1.442156,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,h6000_q-001395_r+000403,2.25353,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,h6000_q-001406_r+000399,0.002966,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,h6000_q-001406_r+000400,0.001862,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,h6000_q-001406_r+000401,1.093505,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,h6000_q-001405_r+000399,0.17335,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,h6000_q-001405_r+000401,2.732704,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,h6000_q-001400_r+000399,0.067835,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,h6000_q-001399_r+000399,0.176934,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,h6000_q-001399_r+000400,0.762143,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,h6000_q-001398_r+000399,2.718373,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,h6000_q-001398_r+000400,4.294539,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_64bde2ce3b3e,h6000_q-000745_r+001664,3.818642,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_64bde2ce3b3e,h6000_q-000745_r+001665,0.92044,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_a7b831e214cc,h6000_q-000745_r+001665,1.746846,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_a7b831e214cc,h6000_q-000744_r+001664,0.39393,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_e871e0222683,h6000_q-000745_r+001665,6.050697,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2c67b82559f6,h6000_q-000745_r+001665,1.918111,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2c67b82559f6,h6000_q-000745_r+001666,0.668984,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_04f29a68fa1c,h6000_q-000737_r+001664,0.029505,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_04f29a68fa1c,h6000_q-000737_r+001666,0.016479,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_04f29a68fa1c,h6000_q-000736_r+001664,2.685204,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000749_r+001677,0.005855,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000748_r+001675,5.781308,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000748_r+001676,9.73566,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000748_r+001677,1.241367,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000747_r+001673,0.613074,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000747_r+001674,0.088843,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000747_r+001675,0.764059,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000747_r+001677,0.467619,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000746_r+001672,1.302268,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000746_r+001673,2.379016,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000746_r+001674,2.262085,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000746_r+001677,3.108522,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000745_r+001672,0.034247,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000745_r+001673,0.252569,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000745_r+001674,0.413345,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000744_r+001674,0.230298,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000744_r+001675,1.409127,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,h6000_q-000743_r+001674,0.333186,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000745_r+001672,0.001294,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000744_r+001671,1.833321,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000744_r+001672,11.307341,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000744_r+001673,0.001502,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000743_r+001670,2.476868,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000743_r+001671,9.390485,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000742_r+001670,0.475337,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000741_r+001668,0.053556,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000740_r+001669,0.020015,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,h6000_q-000739_r+001670,0.008864,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000752_r+001673,0.201427,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000751_r+001672,0.010547,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000751_r+001673,8.714681,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000751_r+001674,0.163159,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000750_r+001672,1.250032,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000750_r+001673,5.219344,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000750_r+001674,0.985564,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000750_r+001675,0.097428,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000749_r+001672,0.073591,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000749_r+001674,5.235639,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000749_r+001675,5.714698,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000748_r+001672,1.14461,False
