run_id,variant,region,p_minimum_auto_preserve_area_km2,p_island_group_max_distance_km,p_island_group_max_diameter_km,p_minimum_significant_component_area_km2,p_minimum_largest_component_share,overlay_unit_count,group_count,micro_excluded_groups,preserved_ground_km2,excluded_ground_km2,required_overlay_hits,required_overlay_total,exact_catalogue_matches,catalogue_total,false_overlay_count
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,wake,0.5,10,10,0.05,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,midway,0.5,10,10,0.05,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,malta,0.5,10,10,0.05,0.2,1,5,0,2.903,0.146,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,litla_dimun,0.5,10,10,0.05,0.2,2,5,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,bikini,0.5,10,10,0.05,0.2,5,7,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,aegean,0.5,10,10,0.05,0.2,4,17,0,19.899,0.253,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,caribbean,0.5,10,10,0.05,0.2,18,25,0,60.391,0.419,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,norway_skerries,0.5,10,10,0.05,0.2,14,32,4,53.765,9.964,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,fiji_dateline,0.5,10,10,0.05,0.2,6,22,0,71.936,1.003,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,kanto,0.5,10,20,0.02,0.2,6,35,0,13.378,2.135,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,wake,0.5,10,20,0.02,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,midway,0.5,10,20,0.02,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,malta,0.5,10,20,0.02,0.2,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,litla_dimun,0.5,10,20,0.02,0.2,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,bikini,0.5,10,20,0.02,0.2,3,4,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,aegean,0.5,10,20,0.02,0.2,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,caribbean,0.5,10,20,0.02,0.2,9,13,0,60.34,0.469,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,norway_skerries,0.5,10,20,0.02,0.2,18,13,2,49.726,14.003,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.02,fiji_dateline,0.5,10,20,0.02,0.2,4,14,0,72.204,0.735,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,kanto,0.5,10,20,0.1,0.2,6,35,0,13.378,2.135,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,wake,0.5,10,20,0.1,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,midway,0.5,10,20,0.1,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,malta,0.5,10,20,0.1,0.2,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,litla_dimun,0.5,10,20,0.1,0.2,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,bikini,0.5,10,20,0.1,0.2,3,4,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,aegean,0.5,10,20,0.1,0.2,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,caribbean,0.5,10,20,0.1,0.2,9,13,0,60.34,0.469,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,norway_skerries,0.5,10,20,0.1,0.2,18,13,2,49.726,14.003,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_significant_component_area_km2=0.1,fiji_dateline,0.5,10,20,0.1,0.2,4,14,0,72.204,0.735,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,kanto,0.5,10,20,0.05,0.1,6,35,0,13.378,2.135,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,wake,0.5,10,20,0.05,0.1,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,midway,0.5,10,20,0.05,0.1,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,malta,0.5,10,20,0.05,0.1,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,litla_dimun,0.5,10,20,0.05,0.1,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,bikini,0.5,10,20,0.05,0.1,3,4,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,aegean,0.5,10,20,0.05,0.1,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,caribbean,0.5,10,20,0.05,0.1,9,13,0,60.34,0.469,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,norway_skerries,0.5,10,20,0.05,0.1,8,13,1,60.478,3.251,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.1,fiji_dateline,0.5,10,20,0.05,0.1,4,14,0,72.204,0.735,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,kanto,0.5,10,20,0.05,0.3,6,35,0,13.378,2.135,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,wake,0.5,10,20,0.05,0.3,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,midway,0.5,10,20,0.05,0.3,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,malta,0.5,10,20,0.05,0.3,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,litla_dimun,0.5,10,20,0.05,0.3,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,bikini,0.5,10,20,0.05,0.3,3,4,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,aegean,0.5,10,20,0.05,0.3,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,caribbean,0.5,10,20,0.05,0.3,9,13,0,60.34,0.469,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,norway_skerries,0.5,10,20,0.05,0.3,17,13,3,49.085,14.644,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_largest_component_share=0.3,fiji_dateline,0.5,10,20,0.05,0.3,4,14,0,72.204,0.735,0,0,1,1,0
