hex_id,hex_land_km2,sicily_km2,sardinia_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000295_r+000934,18.320394461639403,0.0,18.320394461639403,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000935,18.30139586574173,0.0,18.30139586574173,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000936,18.282402664100648,0.0,18.282402664100648,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000937,18.263414895513534,0.0,18.263414895513534,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000938,18.244432598560334,0.0,18.244432598560334,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000939,18.225455811655046,0.0,18.225455811655046,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000940,18.20648457334328,0.0,18.20648457334328,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000941,18.187518921844482,0.0,18.187518921844482,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000942,18.16855889545059,0.0,18.16855889545059,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000943,18.149604532115937,0.0,18.149604532115937,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000944,18.130655869955064,0.0,18.130655869955064,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000945,18.111712946798324,0.0,18.111712946798324,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000946,18.09277580050659,0.0,18.09277580050659,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000947,18.073844468688964,0.0,18.073844468688964,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000948,18.054918988994597,0.0,18.054918988994597,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000949,18.035999398929597,0.0,18.035999398929597,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000950,18.017085735824583,0.0,18.017085735824583,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000951,17.998178036909103,0.0,17.998178036909103,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000295_r+000952,17.979276339559554,0.0,17.979276339559554,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000910,14.058190952042803,0.0,14.058190952042803,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000911,18.75876042790222,0.0,18.75876042790222,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000912,18.739648682645797,0.0,18.739648682645797,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000913,18.72054141314316,0.0,18.72054141314316,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000914,18.7014386603775,0.0,18.7014386603775,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000915,18.682340465457916,0.0,18.682340465457916,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000916,18.663246869058607,0.0,18.663246869058607,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000917,18.64415791207123,0.0,18.64415791207123,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000918,18.625073635108947,0.0,18.625073635108947,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000919,18.605994078708648,0.0,18.605994078708648,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000920,18.586919283254623,0.0,18.586919283254623,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000921,18.567849289258955,0.0,18.567849289258955,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000922,18.54878413679123,0.0,18.54878413679123,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000923,18.529723866069794,0.0,18.529723866069794,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000924,18.510668517189025,0.0,18.510668517189025,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000925,18.491618129951476,0.0,18.491618129951476,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000926,18.472572744308472,0.0,18.472572744308472,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000927,18.45353239993286,0.0,18.45353239993286,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000928,18.43449713650894,0.0,18.43449713650894,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000929,18.41546699349594,0.0,18.41546699349594,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000930,18.39644201039505,0.0,18.39644201039505,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000931,18.37742222646904,0.0,18.37742222646904,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000932,18.358407680971144,0.0,18.358407680971144,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000933,18.339398413021087,0.0,18.339398413021087,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000934,18.32039446162033,0.0,18.32039446162033,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000935,18.301395865756987,0.0,18.301395865756987,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000936,18.282402664110183,0.0,18.282402664110183,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000937,18.263414895513534,0.0,18.263414895513534,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000938,18.24443259854889,0.0,18.24443259854889,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000939,18.225455811655046,0.0,18.225455811655046,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
