landmass,parent_hex_id,land_fragment_id,land_subject_or_component_id,land_area_km2,other_land_in_hex_km2,hex_total_land_km2,fragment_share_of_hex,other_land_share_of_hex,canonical_water_type,is_terrestrial_hex,whole_hex_assigned,outcome
Great Britain,h6000_q-000833_r+001453,lfr_0358cf89c07752,hsub_great_britain_main_island,0.017989356,0.016602573,0.034591929,0.52,0.48,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000669_r+001341,lfr_82d1526cdde0cd,hsub_great_britain_main_island,1.112976389,0.918213768,2.031190157,0.5479,0.4521,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000633_r+001288,lfr_4c007af48114e3,hsub_great_britain_main_island,1.752356944,1.416806202,3.169163147,0.5529,0.4471,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000629_r+001305,lfr_ca5a70d77b3667,hsub_great_britain_main_island,1.098026692,0.88510589,1.983132582,0.5537,0.4463,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000653_r+001343,lfr_01bea099946352,hsub_great_britain_main_island,1.211600594,0.945996109,2.157596703,0.5616,0.4384,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000751_r+001383,lfr_21600402ba1fb3,hsub_great_britain_main_island,0.861852633,0.665587373,1.527440005,0.5642,0.4358,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000725_r+001249,lfr_05cb64bd360392,hsub_great_britain_main_island,0.014141378,0.010846286,0.024987664,0.5659,0.4341,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000692_r+001247,lfr_ecbe3fc001bc3f,hsub_great_britain_main_island,0.006789747,0.004913075,0.011702822,0.5802,0.4198,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000870_r+001547,lfr_90c82c593b53de,hsub_great_britain_main_island,0.016765099,0.011801166,0.028566266,0.5869,0.4131,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000635_r+001299,lfr_2728514e41b1ed,hsub_great_britain_main_island,1.85346683,1.254432856,3.107899686,0.5964,0.4036,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000661_r+001264,lfr_6bfd955a1cf587,hsub_great_britain_main_island,0.28080987,0.173940597,0.454750467,0.6175,0.3825,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000862_r+001531,lfr_88dc6200dde182,hsub_great_britain_main_island,2.285035009,1.160671915,3.445706924,0.6632,0.3368,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000814_r+001453,lfr_7929b7e3c18a6b,hsub_great_britain_main_island,0.222777155,0.110684083,0.333461237,0.6681,0.3319,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000723_r+001254,lfr_2302bf41af2c17,hsub_great_britain_main_island,0.068464543,0.033040897,0.10150544,0.6745,0.3255,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000838_r+001475,lfr_021ff21ae6bbf6,hsub_great_britain_main_island,2.330657717,1.118321134,3.44897885,0.6758,0.3242,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000627_r+001311,lfr_750108f7174965,hsub_great_britain_main_island,1.917897809,0.879564036,2.797461844,0.6856,0.3144,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000632_r+001289,lfr_3e6b9ecee3e7a8,hsub_great_britain_main_island,2.78542229,1.242307314,4.027729604,0.6916,0.3084,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000868_r+001539,lfr_9b630f84a370f3,hsub_great_britain_main_island,0.795991558,0.354040656,1.150032214,0.6921,0.3079,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000859_r+001508,lfr_ad20f419fa21b7,hsub_great_britain_main_island,0.37464088,0.150891103,0.525531983,0.7129,0.2871,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000755_r+001336,lfr_e76d05020cd0fc,hsub_great_britain_main_island,0.083617303,0.033603829,0.117221132,0.7133,0.2867,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000632_r+001288,lfr_f8349ed1be3eff,hsub_great_britain_main_island,1.654552578,0.653911768,2.308464347,0.7167,0.2833,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000709_r+001251,lfr_8cf9e1df36df38,hsub_great_britain_main_island,0.000587474,0.000225619,0.000813093,0.7225,0.2775,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000765_r+001415,lfr_2b4d1c7acff73c,hsub_great_britain_main_island,2.584834232,0.890269208,3.47510344,0.7438,0.2562,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000853_r+001488,lfr_d22a973d3aee42,hsub_great_britain_main_island,0.04454344,0.013953318,0.058496758,0.7615,0.2385,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000722_r+001261,lfr_372e1aca2e215e,hsub_great_britain_main_island,0.05492317,0.016844854,0.071768023,0.7653,0.2347,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000864_r+001556,lfr_d8b406114ff118,hsub_great_britain_main_island,0.134592101,0.040632937,0.175225038,0.7681,0.2319,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000833_r+001456,lfr_60a185759578d4,hsub_great_britain_main_island,1.346056325,0.4055751,1.751631425,0.7685,0.2315,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000614_r+001278,lfr_948c5daa32981f,hsub_great_britain_main_island,0.055766643,0.016182892,0.071949535,0.7751,0.2249,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001522,lfr_4e7a95322e0810,hsub_great_britain_main_island,0.98219742,0.267517679,1.249715099,0.7859,0.2141,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000852_r+001485,lfr_53bdb5d7855e65,hsub_great_britain_main_island,1.168731607,0.307667542,1.476399149,0.7916,0.2084,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
