hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis
h6000_q-000664_r+001005,OCEAN,False,0.284266,4.82991,4.571072,0.258838,hsub_european_mainland,lfr_34a623e455155e,0.0,0.0,4.571072,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000665_r+001001,OCEAN,False,0.379561,6.475685,6.474718,0.000968,hsub_european_mainland,lfr_c4db1a0f6a1eac,0.0,0.0,0.029908,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000665_r+001002,OCEAN,False,0.289425,4.933502,4.926613,0.006889,hsub_european_mainland,lfr_fd36dae2f6cee4,0.0,0.0,4.211668,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000665_r+001003,OCEAN,False,0.378149,6.43929,6.436711,0.002579,hsub_european_mainland,lfr_54b758d3ee0ef0,0.0,0.0,6.436711,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000665_r+001004,OCEAN,False,0.007822,0.13294,0.13294,0.0,hsub_european_mainland,lfr_6dcfd33e05439e,0.0,0.0,0.13294,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000665_r+001045,OCEAN,False,0.436765,7.098555,7.098555,0.0,hsub_european_mainland,lfr_06d679ada59eeb,0.0,0.0,1.329897,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000666_r+001004,OCEAN,False,0.053916,0.916376,0.916376,0.0,hsub_european_mainland,lfr_be0f4331ac94e4,0.0,0.0,0.916376,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000666_r+001045,OCEAN,False,0.054561,0.887006,0.887006,0.0,hsub_european_mainland,lfr_eb48519303ef78,0.0,0.0,0.88016,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000667_r+001005,OCEAN,False,0.439411,7.462962,7.462278,0.000684,hsub_european_mainland,lfr_ae9b2153256f67,0.0,0.0,7.462278,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000667_r+001043,OCEAN,False,0.487217,7.937106,7.854764,0.082342,hsub_european_mainland,lfr_19e16c03e45298,0.0,0.0,7.854764,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000667_r+001044,OCEAN,False,0.084242,1.371078,1.371078,0.0,hsub_european_mainland,lfr_2dbef7f2d95e2d,0.0,0.0,1.371078,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000668_r+001006,OCEAN,False,0.156859,2.661192,2.658384,0.002807,hsub_european_mainland,lfr_9f21bad5c3f1af,0.0,0.0,2.658384,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000668_r+001008,OCEAN,False,0.125571,2.126159,1.53695,0.589209,hsub_european_mainland,lfr_1d6718d5167e58,0.0,0.0,1.53695,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
