hex_id,is_terrestrial_hex,hex_land_km2,spain_safe_km2,spain_region_km2,portugal_safe_km2,portugal_region_km2,safe_total_km2,unresolved_km2,control_status,winner,basis
h6000_q-000563_r+000892,True,19.122678627483367,0.0,18.78698039394035,0.0,0.0,0.0,19.122678627483367,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000893,True,19.103489779426575,0.0,10.969357514489936,0.0,0.0,0.0,19.103489779426575,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000894,True,19.0843046076622,0.0,10.333969600230217,0.0,0.0,0.0,19.0843046076622,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000895,True,19.06512315517044,0.0,17.971505119286775,0.0,0.0,0.0,19.06512315517044,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000896,True,19.045945464982985,0.0,19.045945464982985,0.0,0.0,0.0,19.045945464982985,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000897,True,19.02677157973671,0.0,19.02677157973671,0.0,0.0,0.0,19.02677157973671,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000898,True,19.00760154212761,0.0,19.00760154212761,0.0,0.0,0.0,19.00760154212761,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000899,True,18.988435394849777,0.0,18.988435394849777,0.0,0.0,0.0,18.988435394849777,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000900,True,18.969273180202485,0.0,18.969273180202485,0.0,0.0,0.0,18.969273180202485,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000901,True,18.95011494073868,5.3539353346157075,18.95011494073868,0.0,0.0,5.3539353346157075,13.596179606122972,UNRESOLVED,,HEX_LAND_ONLY_PARTLY_INSIDE_A_SAFE_INTERIOR
