landmass,land_subject_or_component_id,parent_hex_id,land_fragment_id,canonical_water_type,is_terrestrial_hex,land_area_km2,hex_total_land_km2,land_fraction_of_hex,other_land_in_hex_km2,geometry_sha256,contained_in_parent_hex,mixed_unaudited,geometry_source,identity_algorithm_version,in_mapgen024_gap_pool,production_decision
Iceland,hsub_iceland_main_island,h6000_q-001354_r+001850,lfr_40ad5764963816,OCEAN,False,0.001121879,0.001121879,0.000201,0.0,fb2d7fc435e5237c5f0b0e0544cfb47b4449a4a8ed36ce6e8e93906cb53622df,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001850,lfr_861746e0426cd0,OCEAN,False,0.008500879,0.219078642,0.039218,0.210577763,2a8db0f53557b2a12ff5a7c805b73acccd81b0c4d0cc88e22f829fe50eae88b0,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001351_r+001850,lfr_db458fc6f82fa7,OCEAN,False,0.138544972,0.161085477,0.028823,0.022540505,f1f0ece394cd567c3fed30f12fbd4d3d4b2ac88cef062a5f9fd308e9ee402999,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001349_r+001850,lfr_21cd086eeec2f8,OCEAN,False,0.180269404,0.790943772,0.141625,0.610674369,ee11b82204b16873fa1b27d516af1856a176624933c012971f9e04fe99f2307b,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001348_r+001850,lfr_a3e201f8dbb5e5,OCEAN,False,2.603741648,2.603741648,0.46609,0.0,3f991b6a758916a43165fa7300997e1e88dbf409183aa60cd4d0b55b3af24506,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001345_r+001850,lfr_9e3aff6f3b44cc,OCEAN,False,0.121106831,0.128892864,0.023072,0.007786032,f252f77be8d1902288c552f7a0c3d8de302afb3f148e7dd1ee47e60a6b35cdb7,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001350_r+001851,lfr_1c295c204d17de,OCEAN,False,0.401917231,0.490791272,0.087965,0.088874041,58092cec5ea7603fbc91a25d56a306365269da9fe7404bd76e1d3036026c3e7f,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001349_r+001851,lfr_cab38a230153da,OCEAN,False,2.683296906,2.734433089,0.490194,0.051136183,00a8612dd171bbd761b5b9247876e411c1454ca4c0ac58b4fe6eb72d21d3a9f6,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001346_r+001851,lfr_05640af25ed3fa,OCEAN,False,0.48609107,0.560468989,0.10049,0.07437792,4ee7b544d25ff878e49513369304226a4e1aac66d13368b8c6e35017c1c56121,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001345_r+001851,lfr_2e737849798d84,OCEAN,False,0.250348423,0.356022656,0.063825,0.105674233,3adee1b91a35ebb94bd07f4c6a7507c455f6dc7922dbce3bd76850e06da44aa0,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001337_r+001851,lfr_1f43a182d8862b,OCEAN,False,1.467721287,1.467721287,0.263046,0.0,6a35b5d8bd4f8c631408454ee9ac2133ec11836c772b0488381e43968fdcd9bc,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001336_r+001851,lfr_99d078ad6c037d,OCEAN,False,1.900804213,1.937346539,0.347297,0.036542326,9e706c1ffb51257b0e4f4a5c81fdc4782bbdc817234545face71e5ca33091337,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001334_r+001851,lfr_6ca4d537609a79,OCEAN,False,1.079187467,1.079187467,0.193407,0.0,6036700cdbd9244f4db0c2033817ece6613ca21088df9956c9cf8a8306352e6b,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001333_r+001851,lfr_9f9ee3073129cb,OCEAN,False,0.357714956,0.357714956,0.064095,0.0,1b6a00088b52391b4a683c14cb74a73dae0f6770738f9004ed794122233735d5,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001332_r+001851,lfr_842fba535165e4,OCEAN,False,0.100237065,0.100237065,0.017959,0.0,7da3af7c6739381b2293cdbf4fdc3d55b2a40a6471f18f3a648eb381125be2ac,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001331_r+001851,lfr_e04e2ff8ad5873,OCEAN,False,0.204913572,0.204913572,0.036715,0.0,0595c884641f68ca2397ffc3a218191a589c8ff8a6caebc017cab9e2e6d7d1fa,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001330_r+001851,lfr_01a0cbea62d501,OCEAN,False,0.711319885,0.727025996,0.130332,0.015706111,7cd70f1de397ae7518a9041d1089ef480c0bdbd3958a573e4df4096e1095a933,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001349_r+001852,lfr_c2752f53d7c99c,OCEAN,False,0.783642493,1.051407646,0.188754,0.267765153,84710e9b0c83b99acc5afc102dd09f9c4f8ecded36b9c6ba74fe9128b5eb8d0d,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
