territorial_target_type,territorial_target_id,controller_scenario_polity_id,control_status,notes,old_status,old_controller,old_promotion_id,old_uncertainty_km,revision_id,reason,change,new_promotion_id,new_uncertainty_km
TERRESTRIAL_HEX,h6000_q-000579_r+000880,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 2.75 of 19.35 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000579_r+000881,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 5.38 of 19.33 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000579_r+000882,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 14.69 of 19.31 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000579_r+000887,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 0.58 of 19.22 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000580_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.60 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000580_r+000868,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.58 of 19.58 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000580_r+000869,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.56 of 19.56 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000580_r+000879,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.37 of 19.37 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000580_r+000880,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.35 of 19.35 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000582_r+000889,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 12.58 of 19.18 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000583_r+000890,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 16.80 of 19.16 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000583_r+000891,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 2.03 of 19.14 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000584_r+000891,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.14 of 19.14 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000584_r+000892,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 10.04 of 19.12 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000585_r+000892,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.12 of 19.12 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000585_r+000893,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 17.49 of 19.10 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000585_r+000894,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 5.88 of 19.08 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000586_r+000894,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.08 of 19.08 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000586_r+000895,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 16.39 of 19.07 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000586_r+000896,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 2.37 of 19.05 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000589_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.62 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000590_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.64 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000590_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.62 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000590_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.60 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000590_r+000868,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.58 of 19.58 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000590_r+000869,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.56 of 19.56 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 16.21 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 18.30 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000868,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.58 of 19.58 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000869,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.56 of 19.56 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000870,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.55 of 19.55 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000591_r+000871,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.53 of 19.53 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000592_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 0.01 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000592_r+000871,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.53 of 19.53 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000592_r+000872,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.51 of 19.51 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000873,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.49 of 19.49 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000874,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.47 of 19.47 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000875,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.45 of 19.45 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000876,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.43 of 19.43 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000877,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.41 of 19.41 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000878,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.39 of 19.39 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
